# Number of peaks = 3
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# G	 104.0	 0.1095 	 48.81	 4.318
# G	 188.7	 0.05379 	 83.16	 7.261
# G	 294.2	 0.02182 	 117.9	 4.491
# 
# T	dTG	pksum	pk1	pk2	pk3
+2.9200E+02 +3.3413E-02 +3.3315E-02 +3.9449E-08 +1.1504E-02 +2.1811E-02
+2.9500E+02 +3.2416E-02 +3.2322E-02 +2.4478E-08 +1.0505E-02 +2.1817E-02
+2.9800E+02 +3.1451E-02 +3.1363E-02 +1.5074E-08 +9.5669E-03 +2.1796E-02
+3.0100E+02 +3.0516E-02 +3.0437E-02 +9.2129E-09 +8.6902E-03 +2.1746E-02
+3.0300E+02 +2.9632E-02 +2.9837E-02 +6.6073E-09 +8.1391E-03 +2.1698E-02
+3.0600E+02 +2.8754E-02 +2.8963E-02 +3.9878E-09 +7.3612E-03 +2.1602E-02
+3.0900E+02 +2.7907E-02 +2.8119E-02 +2.3887E-09 +6.6404E-03 +2.1478E-02
+3.1100E+02 +2.7109E-02 +2.7571E-02 +1.6902E-09 +6.1906E-03 +2.1381E-02
+3.1400E+02 +2.6320E-02 +2.6773E-02 +9.9978E-10 +5.5602E-03 +2.1213E-02
+3.1700E+02 +2.5561E-02 +2.6000E-02 +5.8692E-10 +4.9811E-03 +2.1019E-02
+3.1900E+02 +2.4849E-02 +2.5498E-02 +4.0977E-10 +4.6222E-03 +2.0876E-02
+3.2200E+02 +2.4148E-02 +2.4763E-02 +2.3755E-10 +4.1228E-03 +2.0640E-02
+3.2500E+02 +2.3473E-02 +2.4049E-02 +1.3667E-10 +3.6678E-03 +2.0381E-02
+3.2700E+02 +2.2838E-02 +2.3583E-02 +9.4147E-11 +3.3879E-03 +2.0195E-02
+3.3000E+02 +2.2210E-02 +2.2900E-02 +5.3489E-11 +3.0009E-03 +1.9899E-02
+3.3300E+02 +2.1603E-02 +2.2232E-02 +3.0161E-11 +2.6513E-03 +1.9581E-02
+3.3600E+02 +2.1017E-02 +2.1580E-02 +1.6879E-11 +2.3363E-03 +1.9244E-02
+3.3900E+02 +2.0452E-02 +2.0941E-02 +9.3747E-12 +2.0534E-03 +1.8887E-02
+3.4200E+02 +1.9908E-02 +2.0314E-02 +5.1676E-12 +1.8000E-03 +1.8514E-02
+3.4400E+02 +1.9394E-02 +1.9902E-02 +3.4596E-12 +1.6464E-03 +1.8256E-02
+3.4700E+02 +1.8887E-02 +1.9293E-02 +1.8832E-12 +1.4370E-03 +1.7856E-02
+3.5000E+02 +1.8396E-02 +1.8694E-02 +1.0174E-12 +1.2510E-03 +1.7443E-02
+3.5200E+02 +1.7931E-02 +1.8299E-02 +6.7201E-13 +1.1389E-03 +1.7160E-02
+3.5500E+02 +1.7468E-02 +1.7714E-02 +3.5851E-13 +9.8717E-04 +1.6727E-02
+3.5700E+02 +1.7026E-02 +1.7328E-02 +2.3483E-13 +8.9613E-04 +1.6432E-02
+3.6000E+02 +1.6581E-02 +1.6756E-02 +1.2371E-13 +7.7339E-04 +1.5982E-02
+3.6300E+02 +1.6144E-02 +1.6190E-02 +6.4680E-14 +6.6572E-04 +1.5525E-02
+3.6600E+02 +1.5712E-02 +1.5632E-02 +3.3563E-14 +5.7156E-04 +1.5061E-02
+3.6800E+02 +1.5294E-02 +1.5264E-02 +2.1582E-14 +5.1556E-04 +1.4749E-02
+3.7100E+02 +1.4872E-02 +1.4718E-02 +1.1059E-14 +4.4071E-04 +1.4277E-02
+3.7400E+02 +1.4452E-02 +1.4179E-02 +5.6241E-15 +3.7576E-04 +1.3803E-02
+3.7700E+02 +1.4032E-02 +1.3647E-02 +2.8386E-15 +3.1954E-04 +1.3327E-02
+3.7900E+02 +1.3618E-02 +1.3296E-02 +1.7919E-15 +2.8641E-04 +1.3010E-02
+3.8200E+02 +1.3199E-02 +1.2776E-02 +8.9313E-16 +2.4250E-04 +1.2534E-02
+3.8400E+02 +1.2782E-02 +1.2435E-02 +5.5909E-16 +2.1673E-04 +1.2218E-02
+3.8700E+02 +1.2358E-02 +1.1929E-02 +2.7517E-16 +1.8271E-04 +1.1746E-02
+3.8900E+02 +1.1935E-02 +1.1596E-02 +1.7082E-16 +1.6282E-04 +1.1433E-02
