# Number of peaks = 8
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# L	 47.31	 6020.0 	 0.07428	 697.9
# L	 47.44	 2970.0 	 0.0695	 321.9
# L	 56.13	 3130.0 	 0.0782	 383.5
# L	 56.28	 1670.0 	 0.07735	 202.3
# L	 69.13	 632.0 	 0.09931	 98.08
# L	 69.33	 340.0 	 0.09969	 52.96
# L	 76.37	 972.0 	 0.0974	 144.4
# L	 76.6	 553.0 	 0.09849	 82.74
# 
# 2theta	I	pksum	pk1	pk2	pk3	pk4	pk5	pk6	pk7	pk8
+4.2560E+01 +2.7251E+01 +5.6530E-01 +3.6861E-01 +1.5086E-01 +2.6003E-02 +1.3265E-02 +2.2070E-03 +1.1783E-03 +2.0164E-03 +1.1574E-03
+4.2590E+01 +1.4671E+01 +5.7206E-01 +3.7332E-01 +1.5273E-01 +2.6119E-02 +1.3323E-02 +2.2120E-03 +1.1809E-03 +2.0200E-03 +1.1594E-03
+4.2620E+01 +2.6390E+01 +5.7895E-01 +3.7811E-01 +1.5464E-01 +2.6235E-02 +1.3382E-02 +2.2170E-03 +1.1836E-03 +2.0235E-03 +1.1615E-03
+4.2650E+01 +1.8311E+01 +5.8597E-01 +3.8300E-01 +1.5658E-01 +2.6352E-02 +1.3441E-02 +2.2221E-03 +1.1863E-03 +2.0271E-03 +1.1635E-03
+4.2680E+01 +1.9231E+01 +5.9313E-01 +3.8798E-01 +1.5856E-01 +2.6469E-02 +1.3500E-02 +2.2271E-03 +1.1889E-03 +2.0308E-03 +1.1656E-03
+4.2710E+01 +1.0250E+01 +6.0042E-01 +3.9306E-01 +1.6058E-01 +2.6588E-02 +1.3560E-02 +2.2322E-03 +1.1916E-03 +2.0344E-03 +1.1677E-03
+4.2740E+01 +1.7470E+01 +6.0785E-01 +3.9824E-01 +1.6264E-01 +2.6707E-02 +1.3620E-02 +2.2372E-03 +1.1943E-03 +2.0380E-03 +1.1697E-03
+4.2770E+01 +1.3891E+01 +6.1543E-01 +4.0353E-01 +1.6474E-01 +2.6827E-02 +1.3680E-02 +2.2423E-03 +1.1970E-03 +2.0417E-03 +1.1718E-03
+4.2800E+01 +1.3010E+01 +6.2315E-01 +4.0892E-01 +1.6688E-01 +2.6948E-02 +1.3741E-02 +2.2474E-03 +1.1997E-03 +2.0453E-03 +1.1739E-03
+4.2830E+01 +1.3930E+01 +6.3103E-01 +4.1442E-01 +1.6906E-01 +2.7070E-02 +1.3803E-02 +2.2526E-03 +1.2024E-03 +2.0490E-03 +1.1760E-03
