# XRD pattern of silicon standard
#
#2theta	Intensity
43.34	120.367
43.37	107.788
43.4	124.907
43.43	111.427
43.46	118.647
43.49	133.968
43.52	115.987
43.55	107.007
43.58	116.028
43.61	112.447
43.64	108.867
43.67	109.786
43.7	117.006
43.73	117.026
43.76	117.946
43.79	107.166
43.82	113.485
43.85	123.406
43.88	123.425
43.91	113.545
43.94	116.266
43.97	103.685
44	116.305
44.03	128.025
44.06	107.344
44.09	121.765
44.12	103.784
44.15	109.204
44.18	121.824
44.21	120.945
44.24	118.264
44.27	113.784
44.3	116.505
44.33	122.824
44.36	110.243
44.39	117.463
44.42	118.382
44.45	113.004
44.48	113.923
44.51	114.843
44.54	116.662
44.57	114.883
44.6	127.502
44.63	122.122
44.66	118.543
44.69	112.262
44.72	109.582
44.75	103.301
44.78	125.821
44.81	127.642
44.84	116.862
44.87	114.181
44.9	106.102
44.93	109.721
44.96	116.941
44.99	118.761
45.02	108.88
45.05	115.201
45.08	109.82
45.11	110.74
45.14	108.961
45.17	115.28
45.2	108.1
45.23	121.632
45.26	112.665
45.29	119.898
45.32	130.729
45.35	103.761
45.38	106.493
45.41	119.125
45.44	105.658
45.47	114.69
45.5	108.422
45.53	117.454
45.56	122.887
45.59	106.719
45.62	131.051
45.65	127.483
45.68	115.816
45.71	122.148
45.74	120.381
45.77	123.112
45.8	126.743
45.83	119.577
45.86	138.51
45.89	126.841
45.92	123.273
45.95	132.305
45.98	128.737
46.01	131.47
46.04	127.903
46.07	128.834
46.1	125.266
46.13	106.399
46.16	119.03
46.19	125.364
46.22	131.695
46.25	122.728
46.28	138.06
46.31	138.993
46.34	140.824
46.37	154.356
46.4	131.888
46.43	131.922
46.46	158.953
46.49	139.186
46.52	139.218
46.55	139.249
46.58	141.082
46.61	143.815
46.64	146.547
46.67	142.978
46.7	145.711
46.73	155.642
46.76	174.576
46.79	165.608
46.82	174.64
46.85	166.572
46.88	183.704
46.91	180.136
46.94	179.269
46.97	218
47	216.233
47.03	296.365
47.06	354.898
47.09	418.829
47.12	420.661
47.15	495.394
47.18	664.627
47.21	857.259
47.24	1492.69
47.27	3419.62
47.3	6118.75
47.33	4840.78
47.36	2295.62
47.39	2191.26
47.42	3063.39
47.45	3017.51
47.48	1398.44
47.51	709.981
47.54	556.114
47.57	412.145
47.6	338.377
47.63	301.51
47.66	266.442
47.69	237.674
47.72	197.206
47.75	192.739
47.78	169.371
47.81	160.404
47.84	158.635
47.87	166.767
47.9	174.899
47.93	148.833
47.96	158.764
47.99	156.997
48.02	143.529
48.05	154.36
48.08	135.493
48.11	142.726
48.14	135.558
48.17	134.689
48.2	145.522
48.23	134.754
48.26	141.087
48.29	130.32
48.32	145.651
48.35	123.183
48.38	132.216
48.41	122.347
48.44	123.28
48.47	121.511
48.5	125.144
48.53	122.476
48.56	127.909
48.59	126.141
48.62	127.972
48.65	131.605
48.68	127.138
48.71	119.07
48.74	122.703
48.77	122.734
48.8	110.166
48.83	134.498
48.86	108.43
48.89	112.963
48.92	121.994
48.95	121.127
48.98	112.159
49.01	112.192
49.04	117.623
49.07	118.556
49.1	119.488
49.13	118.621
49.16	118.653
49.19	107.886
49.22	110.617
49.25	119.65
49.28	124.181
49.31	112.514
49.34	127.846
49.37	109.879
49.4	133.31
49.43	118.944
49.46	117.175
49.49	110.906
49.52	108.239
49.55	115.471
49.58	106.504
49.61	117.337
49.64	123.668
49.67	124.6
49.7	119.233
49.73	113.864
49.76	120.197
49.79	113.029
49.82	124.762
49.85	115.793
49.88	113.127
49.91	120.358
49.94	108.691
49.97	115.922
50	120.456
50.03	113.287
50.06	116.02
50.09	110.651
50.12	107.084
50.15	122.416
50.18	109.847
50.21	117.981
50.24	109.012
50.27	110.845
50.3	123.476
50.33	116.31
50.36	110.041
50.39	116.374
50.42	113.706
50.45	123.638
50.48	115.57
50.51	119.203
50.54	115.635
50.57	115.667
50.6	111.199
50.63	116.632
50.66	113.964
50.69	121.195
50.72	107.728
50.75	112.261
50.78	121.292
50.81	109.625
50.84	100.657
50.87	112.39
50.9	112.422
50.93	112.453
50.96	110.686
50.99	118.817
51.02	117.05
51.05	111.682
51.08	110.815
51.11	117.148
51.14	114.48
51.17	110.911
51.2	117.244
51.23	107.375
51.26	111.008
51.29	114.64
51.32	108.373
51.35	112.005
51.38	115.637
51.41	119.269
51.44	121.1
51.47	117.534
51.5	111.267
51.53	110.398
51.56	111.329
51.59	108.663
51.62	110.494
51.65	116.827
51.68	111.458
51.71	108.792
51.74	111.523
51.77	117.856
51.8	112.488
51.83	113.421
51.86	112.552
51.89	113.485
51.92	110.816
51.95	111.75
51.98	112.681
52.01	112.714
52.04	104.645
52.07	109.178
52.1	117.31
52.13	111.943
52.16	108.375
52.19	121.006
52.22	121.039
52.25	121.972
52.28	107.603
52.31	113.935
52.34	106.768
52.37	104.1
52.4	109.532
52.43	118.565
52.46	111.397
52.49	115.928
52.52	105.161
52.55	111.493
52.58	116.926
52.61	116.058
52.64	116.091
52.67	118.822
52.7	118.855
52.73	112.587
52.76	118.918
52.79	104.551
52.82	122.584
52.85	105.516
52.88	110.048
52.91	111.88
52.94	109.213
52.97	111.945
53	110.176
53.03	113.809
53.06	118.341
53.09	112.074
53.12	112.105
53.15	110.338
53.18	109.47
53.21	108.602
53.24	114.934
53.27	123.967
53.3	123.998
53.33	114.132
53.36	109.663
53.39	123.196
53.42	113.328
53.45	108.861
53.48	117.892
53.51	118.824
53.54	117.056
53.57	104.489
53.6	118.921
53.63	117.154
53.66	104.585
53.69	117.217
53.72	109.15
53.75	112.781
53.78	119.114
53.81	115.546
53.84	118.279
53.87	112.911
53.9	108.444
53.93	109.375
53.96	117.508
53.99	113.94
54.02	117.572
54.05	113.104
54.08	118.537
54.11	115.868
54.14	131.202
54.17	109.633
54.2	115.066
54.23	115.998
54.26	117.829
54.29	116.062
54.32	117.895
54.35	116.127
54.38	117.959
54.41	129.691
54.44	110.824
54.47	118.055
54.5	127.089
54.53	119.02
54.56	120.851
54.59	115.484
54.62	118.216
54.65	116.449
54.68	118.282
54.71	124.614
54.74	115.645
54.77	118.378
54.8	123.81
54.83	118.442
54.86	109.474
54.89	118.507
54.92	118.538
54.95	125.772
54.98	128.503
55.01	130.334
55.04	128.567
55.07	119.6
55.1	116.932
55.13	129.565
55.16	116.996
55.19	127.828
55.22	128.761
55.25	117.094
55.28	128.826
55.31	138.757
55.34	127.99
55.37	132.522
55.4	128.055
55.43	144.286
55.46	129.019
55.49	142.55
55.52	130.883
55.55	130.915
55.58	134.547
55.61	134.579
55.64	142.712
55.67	160.744
55.7	142.777
55.73	156.308
55.76	161.74
55.79	187.873
55.82	201.406
55.85	221.237
55.88	238.369
55.91	256.402
55.94	270.834
55.97	333.866
56	389.699
56.03	608.431
56.06	945.961
56.09	1912.6
56.12	3224.83
56.15	2588.56
56.18	1328.6
56.21	957.823
56.24	1136.96
56.27	1763.38
56.3	1542.93
56.33	832.852
56.36	430.585
56.39	325.318
56.42	264.149
56.45	248.882
56.48	221.014
56.51	176.046
56.54	167.078
56.57	158.112
56.6	144.643
56.63	151.875
56.66	141.108
56.69	145.639
56.72	148.372
56.75	144.805
56.78	143.036
56.81	131.368
56.84	126.001
56.87	130.532
56.9	125.166
56.93	131.497
56.96	131.53
56.99	132.462
57.02	127.095
57.05	113.626
57.08	131.657
57.11	117.291
57.14	120.923
57.17	125.455
57.2	137.188
57.23	121.919
57.26	122.851
57.29	118.384
57.32	116.617
57.35	118.449
57.38	119.38
57.41	128.413
57.44	122.144
57.47	107.778
57.5	115.011
57.53	112.342
57.56	123.173
57.59	116.906
57.62	117.838
57.65	117.871
57.68	118.803
57.71	113.435
57.74	114.367
57.77	114.4
57.8	118.931
57.83	113.565
57.86	105.496
57.89	112.729
57.92	115.46
57.95	112.793
57.98	115.525
58.01	118.257
58.04	121.889
58.07	122.822
58.1	112.954
58.13	111.185
58.16	111.219
58.19	117.55
58.22	113.983
58.25	128.416
58.28	115.847
58.31	110.479
58.34	114.112
58.37	106.043
58.4	113.276
58.43	108.808
58.46	115.141
58.49	117.873
58.52	119.706
58.55	126.937
58.58	117.969
58.61	118.901
58.64	113.534
58.67	109.966
58.7	114.498
58.73	116.331
58.76	109.162
58.79	119.095
58.82	111.926
58.85	120.959
58.88	115.591
58.91	106.624
58.94	115.655
58.97	106.689
59	122.92
59.03	110.353
59.06	111.284
59.09	112.218
59.12	107.749
59.15	116.78
59.18	118.614
59.21	109.647
59.24	114.178
59.27	119.611
59.3	116.042
59.33	116.974
59.36	110.707
59.39	111.638
59.42	114.371
59.45	115.303
59.48	115.336
59.51	114.468
59.54	117.201
59.57	112.732
59.6	117.265
59.63	114.596
59.66	117.329
59.69	117.361
59.72	119.194
59.75	112.025
59.78	112.059
59.81	119.29
59.84	108.523
59.87	108.555
59.9	114.887
59.93	113.119
59.96	115.852
59.99	114.983
60.02	115.917
60.05	110.548
